id,k,algorithm,nodes,edges,complementer_edges,betweenness_centrality (new edges),betweenness_centrality (all edges),number_of_spanning_trees
0,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 3), (0, 7), (1, 2), (1, 5), (1, 7), (1, 8), (2, 6), (2, 7), (3, 8), (3, 9), (4, 5), (4, 6), (4, 8), (4, 9), (5, 8), (5, 9), (7, 8), (7, 9), (8, 9)]","{(0, 1, 1), (4, 7, 1), (6, 9, 1), (1, 3, 1), (6, 7, 1), (0, 8, 1), (3, 4, 1), (0, 2, 1), (2, 4, 1), (2, 3, 1), (0, 5, 1), (1, 9, 1), (1, 4, 1), (3, 7, 1), (2, 9, 1), (0, 6, 1), (5, 7, 1), (0, 9, 1), (2, 5, 1), (6, 8, 1), (1, 6, 1), (3, 5, 1), (3, 6, 1), (0, 4, 1), (5, 6, 1), (2, 8, 1)}","[((0, 6), 0.09703703703703705)]","{(0, 3): 0.09037037037037036, (0, 7): 0.11185185185185186, (0, 6): 0.09703703703703705, (1, 2): 0.08222222222222222, (1, 5): 0.07407407407407407, (1, 7): 0.06296296296296296, (1, 8): 0.07851851851851852, (2, 6): 0.09333333333333334, (2, 7): 0.0911111111111111, (3, 8): 0.09777777777777778, (3, 9): 0.07111111111111111, (4, 5): 0.05925925925925927, (4, 6): 0.13703703703703704, (4, 8): 0.07777777777777778, (4, 9): 0.06666666666666667, (5, 8): 0.048148148148148155, (5, 9): 0.05555555555555556, (7, 8): 0.07851851851851852, (7, 9): 0.09703703703703705, (8, 9): 0.02962962962962963}",25939
0,2,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 3), (0, 7), (1, 2), (1, 5), (1, 7), (1, 8), (2, 6), (2, 7), (3, 8), (3, 9), (4, 5), (4, 6), (4, 8), (4, 9), (5, 8), (5, 9), (7, 8), (7, 9), (8, 9)]","{(0, 1, 1), (4, 7, 1), (6, 9, 1), (1, 3, 1), (6, 7, 1), (0, 8, 1), (3, 4, 1), (0, 2, 1), (2, 4, 1), (2, 3, 1), (0, 5, 1), (1, 9, 1), (1, 4, 1), (3, 7, 1), (2, 9, 1), (0, 6, 1), (5, 7, 1), (0, 9, 1), (2, 5, 1), (6, 8, 1), (1, 6, 1), (3, 5, 1), (3, 6, 1), (0, 4, 1), (5, 6, 1), (2, 8, 1)}","[((0, 6), 0.07777777777777779), ((2, 3), 0.07592592592592592)]","{(0, 3): 0.07592592592592592, (0, 7): 0.10185185185185185, (0, 6): 0.07777777777777779, (1, 2): 0.08518518518518518, (1, 5): 0.07407407407407407, (1, 7): 0.06296296296296296, (1, 8): 0.05925925925925926, (2, 6): 0.0962962962962963, (2, 7): 0.06481481481481481, (2, 3): 0.07592592592592592, (3, 8): 0.08333333333333334, (3, 9): 0.07592592592592592, (4, 5): 0.05925925925925927, (4, 6): 0.13703703703703704, (4, 8): 0.07777777777777778, (4, 9): 0.06666666666666667, (5, 8): 0.048148148148148155, (5, 9): 0.05555555555555556, (7, 8): 0.06851851851851852, (7, 9): 0.07962962962962962, (8, 9): 0.02962962962962963}",47555
1,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 9), (1, 2), (1, 3), (1, 7), (2, 3), (2, 6), (2, 7), (2, 9), (3, 4), (3, 6), (3, 7), (3, 8), (4, 5), (4, 6), (4, 8), (5, 6), (5, 7), (5, 9), (6, 8), (7, 8), (7, 9), (8, 9)]","{(3, 5, 1), (0, 1, 1), (1, 9, 1), (4, 7, 1), (6, 9, 1), (1, 4, 1), (0, 7, 1), (4, 9, 1), (6, 7, 1), (2, 5, 1), (1, 5, 1), (1, 8, 1), (2, 4, 1), (5, 8, 1), (3, 9, 1), (1, 6, 1), (2, 8, 1)}","[((1, 4), 0.06666666666666667)]","{(0, 2): 0.049629629629629635, (0, 3): 0.04518518518518518, (0, 4): 0.0425925925925926, (0, 5): 0.042222222222222223, (0, 6): 0.02777777777777778, (0, 8): 0.035555555555555556, (0, 9): 0.04518518518518518, (1, 2): 0.053703703703703705, (1, 3): 0.044444444444444446, (1, 7): 0.0574074074074074, (1, 4): 0.06666666666666667, (2, 3): 0.037777777777777785, (2, 6): 0.056296296296296296, (2, 7): 0.042222222222222223, (2, 9): 0.05444444444444445, (3, 4): 0.03888888888888889, (3, 6): 0.040740740740740744, (3, 7): 0.04888888888888889, (3, 8): 0.039629629629629626, (4, 5): 0.056296296296296296, (4, 6): 0.03518518518518519, (4, 8): 0.04703703703703704, (5, 6): 0.04888888888888889, (5, 7): 0.06444444444444446, (5, 9): 0.04518518518518518, (6, 8): 0.042222222222222223, (7, 8): 0.05407407407407408, (7, 9): 0.043333333333333335, (8, 9): 0.049629629629629635}",1309576
1,2,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 9), (1, 2), (1, 3), (1, 7), (2, 3), (2, 6), (2, 7), (2, 9), (3, 4), (3, 6), (3, 7), (3, 8), (4, 5), (4, 6), (4, 8), (5, 6), (5, 7), (5, 9), (6, 8), (7, 8), (7, 9), (8, 9)]","{(3, 5, 1), (0, 1, 1), (1, 9, 1), (4, 7, 1), (6, 9, 1), (1, 4, 1), (0, 7, 1), (4, 9, 1), (6, 7, 1), (2, 5, 1), (1, 5, 1), (1, 8, 1), (2, 4, 1), (5, 8, 1), (3, 9, 1), (1, 6, 1), (2, 8, 1)}","[((1, 9), 0.05074074074074074), ((1, 4), 0.0648148148148148)]","{(0, 2): 0.04777777777777778, (0, 3): 0.042222222222222223, (0, 4): 0.03888888888888889, (0, 5): 0.042222222222222223, (0, 6): 0.02777777777777778, (0, 8): 0.035555555555555556, (0, 9): 0.04777777777777778, (1, 2): 0.040740740740740744, (1, 3): 0.04518518518518518, (1, 7): 0.040740740740740744, (1, 4): 0.0648148148148148, (1, 9): 0.05074074074074074, (2, 3): 0.036666666666666674, (2, 6): 0.056296296296296296, (2, 7): 0.042222222222222223, (2, 9): 0.042222222222222223, (3, 4): 0.03888888888888889, (3, 6): 0.040740740740740744, (3, 7): 0.04777777777777778, (3, 8): 0.03666666666666667, (4, 5): 0.05074074074074074, (4, 6): 0.03518518518518519, (4, 8): 0.04333333333333334, (5, 6): 0.04888888888888889, (5, 7): 0.06074074074074074, (5, 9): 0.05074074074074074, (6, 8): 0.042222222222222223, (7, 8): 0.05222222222222222, (7, 9): 0.03111111111111111, (8, 9): 0.052222222222222225}",1949702
2,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 1), (0, 8), (1, 2), (1, 4), (1, 8), (2, 4), (2, 6), (2, 7), (2, 8), (3, 4), (4, 5), (4, 8), (5, 8)]","{(4, 7, 1), (1, 3, 1), (6, 7, 1), (7, 8, 1), (0, 2, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (3, 7, 1), (3, 8, 1), (0, 6, 1), (5, 7, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (6, 8, 1), (1, 6, 1), (3, 5, 1), (3, 6, 1), (0, 4, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((3, 6), 0.0787037037037037)]","{(0, 1): 0.09722222222222221, (0, 8): 0.125, (1, 2): 0.125, (1, 4): 0.09722222222222221, (1, 8): 0.041666666666666664, (2, 4): 0.13425925925925924, (2, 6): 0.19907407407407404, (2, 7): 0.2222222222222222, (2, 8): 0.162037037037037, (3, 4): 0.18981481481481483, (3, 6): 0.0787037037037037, (4, 5): 0.11574074074074071, (4, 8): 0.08333333333333333, (5, 8): 0.10648148148148147}",344
2,2,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 1), (0, 8), (1, 2), (1, 4), (1, 8), (2, 4), (2, 6), (2, 7), (2, 8), (3, 4), (4, 5), (4, 8), (5, 8)]","{(4, 7, 1), (1, 3, 1), (6, 7, 1), (7, 8, 1), (0, 2, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (3, 7, 1), (3, 8, 1), (0, 6, 1), (5, 7, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (6, 8, 1), (1, 6, 1), (3, 5, 1), (3, 6, 1), (0, 4, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((5, 7), 0.09027777777777778), ((3, 6), 0.07175925925925924)]","{(0, 1): 0.09259259259259257, (0, 8): 0.1296296296296296, (1, 2): 0.12037037037037035, (1, 4): 0.09722222222222221, (1, 8): 0.041666666666666664, (2, 4): 0.09490740740740738, (2, 6): 0.19675925925925924, (2, 7): 0.16435185185185183, (2, 8): 0.12268518518518516, (3, 4): 0.1921296296296296, (3, 6): 0.07175925925925924, (4, 5): 0.11574074074074074, (4, 8): 0.08333333333333333, (5, 8): 0.10879629629629628, (5, 7): 0.09027777777777778}",973
3,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 3), (0, 6), (1, 3), (1, 4), (1, 5), (2, 3), (2, 5), (2, 7), (3, 4), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 8), (6, 7), (7, 8)]","{(0, 1, 1), (0, 8, 1), (0, 2, 1), (2, 4, 1), (0, 5, 1), (1, 7, 1), (3, 8, 1), (4, 5, 1), (1, 2, 1), (5, 7, 1), (2, 6, 1), (6, 8, 1), (1, 8, 1), (4, 8, 1), (1, 6, 1), (3, 6, 1), (0, 4, 1), (0, 7, 1), (2, 8, 1)}","[((0, 8), 0.0648148148148148)]","{(0, 3): 0.13194444444444448, (0, 6): 0.07638888888888887, (0, 8): 0.0648148148148148, (1, 3): 0.08333333333333333, (1, 4): 0.0648148148148148, (1, 5): 0.09259259259259259, (2, 3): 0.08333333333333333, (2, 5): 0.07638888888888888, (2, 7): 0.07638888888888888, (3, 4): 0.07175925925925924, (3, 5): 0.06944444444444443, (3, 7): 0.07407407407407407, (4, 6): 0.07175925925925924, (4, 7): 0.08333333333333333, (5, 6): 0.09722222222222221, (5, 8): 0.10416666666666666, (6, 7): 0.07407407407407406, (7, 8): 0.10416666666666666}",9094
3,2,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 3), (0, 6), (1, 3), (1, 4), (1, 5), (2, 3), (2, 5), (2, 7), (3, 4), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 8), (6, 7), (7, 8)]","{(0, 1, 1), (0, 8, 1), (0, 2, 1), (2, 4, 1), (0, 5, 1), (1, 7, 1), (3, 8, 1), (4, 5, 1), (1, 2, 1), (5, 7, 1), (2, 6, 1), (6, 8, 1), (1, 8, 1), (4, 8, 1), (1, 6, 1), (3, 6, 1), (0, 4, 1), (0, 7, 1), (2, 8, 1)}","[((0, 1), 0.06712962962962962), ((0, 8), 0.07638888888888888)]","{(0, 3): 0.09722222222222221, (0, 6): 0.07870370370370369, (0, 8): 0.07638888888888888, (0, 1): 0.06712962962962962, (1, 3): 0.05555555555555555, (1, 4): 0.06944444444444443, (1, 5): 0.0810185185185185, (2, 3): 0.08333333333333333, (2, 5): 0.07638888888888888, (2, 7): 0.07638888888888888, (3, 4): 0.06712962962962962, (3, 5): 0.06712962962962962, (3, 7): 0.07407407407407407, (4, 6): 0.0625, (4, 7): 0.08333333333333333, (5, 6): 0.09027777777777776, (5, 8): 0.08796296296296295, (6, 7): 0.07407407407407406, (7, 8): 0.10416666666666666}",16110
4,1,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 3), (0, 5), (0, 9), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 8), (2, 3), (2, 8), (2, 9), (3, 5), (3, 8), (3, 9), (4, 5), (4, 6), (4, 8), (4, 9), (5, 7), (5, 9), (6, 7), (6, 8), (6, 9), (7, 8), (7, 9)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (8, 9, 1), (0, 8, 1), (3, 4, 1), (0, 2, 1), (5, 8, 1), (2, 4, 1), (1, 9, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (2, 6, 1), (2, 5, 1), (3, 6, 1), (0, 4, 1), (0, 7, 1), (5, 6, 1)}","[((0, 7), 0.05)]","{(0, 3): 0.061111111111111116, (0, 5): 0.044444444444444446, (0, 9): 0.05555555555555556, (0, 7): 0.05, (1, 2): 0.04888888888888889, (1, 3): 0.05074074074074074, (1, 4): 0.039629629629629626, (1, 5): 0.0637037037037037, (1, 6): 0.05444444444444444, (1, 8): 0.03518518518518519, (2, 3): 0.040740740740740744, (2, 8): 0.052592592592592594, (2, 9): 0.07555555555555554, (3, 5): 0.046296296296296294, (3, 8): 0.06185185185185185, (3, 9): 0.049629629629629635, (4, 5): 0.05555555555555556, (4, 6): 0.03333333333333333, (4, 8): 0.05074074074074074, (4, 9): 0.06074074074074074, (5, 7): 0.05185185185185185, (5, 9): 0.039629629629629626, (6, 7): 0.05185185185185185, (6, 8): 0.04148148148148148, (6, 9): 0.06259259259259259, (7, 8): 0.07296296296296297, (7, 9): 0.04888888888888889}",627804
4,2,algorithm_1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[(0, 3), (0, 5), (0, 9), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 8), (2, 3), (2, 8), (2, 9), (3, 5), (3, 8), (3, 9), (4, 5), (4, 6), (4, 8), (4, 9), (5, 7), (5, 9), (6, 7), (6, 8), (6, 9), (7, 8), (7, 9)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (8, 9, 1), (0, 8, 1), (3, 4, 1), (0, 2, 1), (5, 8, 1), (2, 4, 1), (1, 9, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (2, 6, 1), (2, 5, 1), (3, 6, 1), (0, 4, 1), (0, 7, 1), (5, 6, 1)}","[((0, 2), 0.04999999999999999), ((0, 7), 0.053703703703703705)]","{(0, 3): 0.0425925925925926, (0, 5): 0.046296296296296294, (0, 9): 0.044444444444444446, (0, 7): 0.053703703703703705, (0, 2): 0.04999999999999999, (1, 2): 0.05444444444444444, (1, 3): 0.04703703703703704, (1, 4): 0.039629629629629626, (1, 5): 0.05814814814814815, (1, 6): 0.05444444444444444, (1, 8): 0.03518518518518519, (2, 3): 0.02777777777777778, (2, 8): 0.0562962962962963, (2, 9): 0.0588888888888889, (3, 5): 0.044444444444444446, (3, 8): 0.05814814814814815, (3, 9): 0.049629629629629635, (4, 5): 0.05555555555555556, (4, 6): 0.03333333333333333, (4, 8): 0.05074074074074074, (4, 9): 0.06074074074074074, (5, 7): 0.05185185185185185, (5, 9): 0.037777777777777785, (6, 7): 0.05185185185185185, (6, 8): 0.04148148148148148, (6, 9): 0.06259259259259259, (7, 8): 0.06555555555555555, (7, 9): 0.04518518518518518}",973182
